App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Android Ver
English Communication - Learn English for Chinese (Learn English for Chinese),EDUCATION,4.7,2544,18M,"100,000+",Free,0,Everyone,Education,4.0 and up
Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.6,2431,2.4M,"100,000+",Free,0,Everyone,Auto & Vehicles,4.0 and up
English translation from Bengali,BOOKS_AND_REFERENCE,4.5,527,2.9M,"100,000+",Free,0,Everyone,Books & Reference,4.0 and up
Om Waleed Sweets,FOOD_AND_DRINK,4.6,556,23M,"100,000+",Free,0,Teen,Food & Drink,4.0 and up
Ai La Trieu Phu - ALTP Free,EDUCATION,NaN,776,24M,"100,000+",Free,0,Everyone,Education,4.0 and up
Neighborhoods & Apartments,LIFESTYLE,3.9,2042,3.0M,"100,000+",Free,0,Everyone,Lifestyle,4.0 and up
LH Housing Promotion Notice,HOUSE_AND_HOME,NaN,160,3.1M,"100,000+",Free,0,Everyone,House & Home,4.0 and up
Children's cartoons (Mithu-Mina-Raju),COMICS,4.6,279,3.3M,"100,000+",Free,0,Everyone,Comics,4.0 and up
Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,AUTO_AND_VEHICLES,4.9,10479,33M,"100,000+",Free,0,Everyone,Auto & Vehicles,4.0 and up
Sweet Selfie Beauty Camera,BEAUTY,4.3,601,35M,"100,000+",Free,0,Everyone,Beauty,4.0 and up
Food Calorie Calculator,HEALTH_AND_FITNESS,4.2,1324,4.0M,"100,000+",Free,0,Everyone,Health & Fitness,4.0 and up
Food Calorie Calculator,HEALTH_AND_FITNESS,4.2,1324,4.0M,"100,000+",Free,0,Everyone,Health & Fitness,4.0 and up
KudaGo - things to do in NY,EVENTS,4.4,4298,4.4M,"100,000+",Free,0,Everyone,Events,4.0 and up
Gas Station,AUTO_AND_VEHICLES,4,1288,4.5M,"100,000+",Free,0,Everyone,Auto & Vehicles,4.0 and up
Creative Ideas - DIY & Craft,LIFESTYLE,4,5208,4.5M,"100,000+",Free,0,Teen,Lifestyle,4.0 and up
SAT Test,EDUCATION,4.1,2363,6.6M,"100,000+",Free,0,Everyone,Education,4.0 and up
TurboScan: scan documents and receipts in PDF,BUSINESS,4.7,11442,6.8M,"100,000+",Paid,$4.99,Everyone,Business,4.0 and up
TurboScan: scan documents and receipts in PDF,BUSINESS,4.7,11442,6.8M,"100,000+",Paid,$4.99,Everyone,Business,4.0 and up
EasyBib: Citation Generator,EDUCATION,3.5,1405,7.3M,"100,000+",Free,0,Everyone,Education,4.0 and up
iProperty Malaysia,HOUSE_AND_HOME,4.2,809,7.8M,"100,000+",Free,0,Everyone,House & Home,4.0 and up
Download free book with green book,BOOKS_AND_REFERENCE,4.6,4478,9.5M,"100,000+",Free,0,Everyone 10+,Books & Reference,4.0 and up
Summer Madness,EVENTS,NaN,4,1.4M,100+,Free,0,Everyone,Events,4.0 and up
AMBW Dating App: Asian Men Black Women Interracial,DATING,3.5,2,17M,100+,Paid,$7.99,Mature 17+,Dating,4.0 and up
"Private Dating, Hide App- Blue for PrivacyHider",DATING,NaN,0,18k,100+,Paid,$2.99,Everyone,Dating,4.0 and up
i miss you quotes and photos,DATING,NaN,0,5.0M,100+,Free,0,Everyone,Dating,4.0 and up
"IndiaMART: Search Products, Buy, Sell & Trade",BUSINESS,4.5,207372,11M,"5,000,000+",Free,0,Everyone,Business,4.0 and up
Calls & Text by Mo+,COMMUNICATION,4.2,83239,14M,"5,000,000+",Free,0,Everyone,Communication,4.0 and up
Calls & Text by Mo+,COMMUNICATION,4.2,83239,14M,"5,000,000+",Free,0,Everyone,Communication,4.0 and up
Learn 50 languages,EDUCATION,4.4,55256,14M,"5,000,000+",Free,0,Everyone,Education,4.0 and up
Learn 50 languages,EDUCATION,4.4,55256,14M,"5,000,000+",Free,0,Everyone,Education,4.0 and up
Daum Mail - Next Mail,COMMUNICATION,4.3,41420,19M,"5,000,000+",Free,0,Everyone,Communication,4.0 and up
ChatVideo Meet new people,DATING,4.2,63986,20M,"5,000,000+",Free,0,Mature 17+,Dating,4.0 and up
Free Dating App & Flirt Chat - Match with Singles,DATING,4.4,172460,3.1M,"5,000,000+",Free,0,Mature 17+,Dating,4.0 and up
Call Blocker,BUSINESS,4.6,188841,3.2M,"5,000,000+",Free,0,Everyone,Business,4.0 and up
Daily Yoga - Yoga Fitness Plans,HEALTH_AND_FITNESS,4.4,70769,35M,"5,000,000+",Free,0,Everyone,Health & Fitness,4.0 and up
Daily Yoga - Yoga Fitness Plans,HEALTH_AND_FITNESS,4.4,70769,35M,"5,000,000+",Free,0,Everyone,Health & Fitness,4.0 and up
Daily Yoga - Yoga Fitness Plans,HEALTH_AND_FITNESS,4.4,70769,35M,"5,000,000+",Free,0,Everyone,Health & Fitness,4.0 and up
Ebook Reader,BOOKS_AND_REFERENCE,4.1,85842,37M,"5,000,000+",Free,0,Everyone,Books & Reference,4.0 and up
Princess Coloring Book,EDUCATION,4.5,9770,39M,"5,000,000+",Free,0,Everyone,Education;Creativity,4.0 and up
Monitor Your Weight,HEALTH_AND_FITNESS,4.5,126017,4.3M,"5,000,000+",Free,0,Everyone,Health & Fitness,4.0 and up
Kawaii Easy Drawing : How to draw Step by Step,LIFESTYLE,4.3,34327,8.1M,"5,000,000+",Free,0,Everyone,Lifestyle,4.0 and up
"Black Wallpaper, AMOLED, Dark Background: Darkify",LIFESTYLE,4.6,51357,80M,"5,000,000+",Free,0,Everyone,Lifestyle,4.0 and up
Transfer,FINANCE,4.1,31804,9.8M,"5,000,000+",Free,0,Everyone,Finance,4.0 and up
Makeup Videos,BEAUTY,3.8,9,3.4M,"5,000+",Free,0,Everyone,Beauty,4.0 and up
Funny Jokes and Stories 2018,COMICS,4.2,21,6.7M,"5,000+",Free,0,Everyone,Comics,4.0 and up
Diamond Engagement Rings,DATING,NaN,0,3.5M,5+,Free,0,Everyone,Dating,4.0 and up
Granny,GAME,4.5,1135631,59M,"50,000,000+",Free,0,Teen,Arcade,4.0 and up
Granny,GAME,4.5,1137271,59M,"50,000,000+",Free,0,Teen,Arcade,4.0 and up
Granny,GAME,4.5,1137267,59M,"50,000,000+",Free,0,Teen,Arcade,4.0 and up
"CM Browser - Ad Blocker , Fast Download , Privacy",COMMUNICATION,4.6,2264916,6.1M,"50,000,000+",Free,0,Everyone,Communication,4.0 and up
Candy Crush Jelly Saga,GAME,4.3,1300490,78M,"50,000,000+",Free,0,Everyone,Puzzle,4.0 and up
Series Valley of the Wolves full of part,EVENTS,4.6,731,11M,"50,000+",Free,0,Everyone,Events,4.0 and up
Paprika Recipe Manager,FOOD_AND_DRINK,4.1,1268,2.3M,"50,000+",Paid,$4.99,Everyone,Food & Drink,4.0 and up
GRE® Flashcards by Kaplan,EDUCATION,4,316,29M,"50,000+",Free,0,Everyone,Education,4.0 and up
Super Cars Wallpapers And Backgrounds,AUTO_AND_VEHICLES,4.6,197,3.4M,"50,000+",Free,0,Everyone,Auto & Vehicles,4.0 and up
auto Call Recorder 2018,LIBRARIES_AND_DEMO,4.5,929,7.0M,"50,000+",Free,0,Everyone,Libraries & Demo,4.0 and up
Easy Healthy Recipes,FOOD_AND_DRINK,4.1,278,7.2M,"50,000+",Free,0,Everyone,Food & Drink,4.0 and up
Truth or Dare Pro,DATING,NaN,0,20M,50+,Paid,$1.49,Teen,Dating,4.0 and up
Dating White Girls,DATING,NaN,0,3.6M,50+,Free,0,Mature 17+,Dating,4.0 and up
imo free video calls and chat,COMMUNICATION,4.3,4785892,11M,"500,000,000+",Free,0,Everyone,Communication,4.0 and up
imo free video calls and chat,COMMUNICATION,4.3,4785988,11M,"500,000,000+",Free,0,Everyone,Communication,4.0 and up
imo free video calls and chat,COMMUNICATION,4.3,4785988,11M,"500,000,000+",Free,0,Everyone,Communication,4.0 and up
Pou,GAME,4.3,10485308,24M,"500,000,000+",Free,0,Everyone,Casual,4.0 and up
Pou,GAME,4.3,10485334,24M,"500,000,000+",Free,0,Everyone,Casual,4.0 and up
UC Browser - Fast Download Private & Secure,COMMUNICATION,4.5,17712922,40M,"500,000,000+",Free,0,Teen,Communication,4.0 and up
UC Browser - Fast Download Private & Secure,COMMUNICATION,4.5,17714850,40M,"500,000,000+",Free,0,Teen,Communication,4.0 and up
Temple Run 2,GAME,4.3,8118609,62M,"500,000,000+",Free,0,Everyone,Action,4.0 and up
Temple Run 2,GAME,4.3,8118937,62M,"500,000,000+",Free,0,Everyone,Action,4.0 and up
Temple Run 2,GAME,4.3,8118937,62M,"500,000,000+",Free,0,Everyone,Action,4.0 and up
Speed Reading,EDUCATION,4.6,10611,11M,"500,000+",Free,0,Everyone,Education,4.0 and up
DIY Garden Ideas,LIFESTYLE,4.1,3309,13M,"500,000+",Free,0,Everyone,Lifestyle,4.0 and up
All of the parking lot - National Park application (parking lot search / parking sharing / discount payment),AUTO_AND_VEHICLES,4,1754,14M,"500,000+",Free,0,Everyone,Auto & Vehicles,4.0 and up
Simple Recipes,FOOD_AND_DRINK,4.7,3803,15M,"500,000+",Free,0,Everyone,Food & Drink,4.0 and up
Tickets SDA 2019 + Exam RF,AUTO_AND_VEHICLES,4.8,7021,17M,"500,000+",Free,0,Everyone,Auto & Vehicles,4.0 and up
Lightning Web Browser,COMMUNICATION,4.1,12578,2.3M,"500,000+",Free,0,Everyone,Communication,4.0 and up
English Grammar Complete Handbook,BOOKS_AND_REFERENCE,4.6,1435,2.8M,"500,000+",Free,0,Everyone,Books & Reference,4.0 and up
Filters for B Live,BEAUTY,4.4,2280,24M,"500,000+",Free,0,Everyone,Beauty,4.0 and up
Health and Nutrition Guide,HEALTH_AND_FITNESS,4.3,7895,3.3M,"500,000+",Free,0,Everyone,Health & Fitness,4.0 and up
Health and Nutrition Guide,HEALTH_AND_FITNESS,4.3,7895,3.3M,"500,000+",Free,0,Everyone,Health & Fitness,4.0 and up
Stock Quote,FINANCE,4.1,4344,4.5M,"500,000+",Free,0,Everyone,Finance,4.0 and up
Dinosaurs Coloring Pages,EDUCATION,4.4,390,41M,"500,000+",Free,0,Everyone,Education;Education,4.0 and up
"Chatting - Free chat, random chat, boyfriend, girlfriend",DATING,4.2,2506,6.1M,"500,000+",Free,0,Mature 17+,Dating,4.0 and up
Bed Time Fan - White Noise Sleep Sounds,LIFESTYLE,4.5,10097,7.5M,"500,000+",Free,0,Everyone,Lifestyle,4.0 and up
Mortgage by Zillow: Calculator & Rates,HOUSE_AND_HOME,4.3,4435,7.9M,"500,000+",Free,0,Everyone,House & Home,4.0 and up
Mortgage by Zillow: Calculator & Rates,HOUSE_AND_HOME,4.3,4435,7.9M,"500,000+",Free,0,Everyone,House & Home,4.0 and up
Good room network fast rent,HOUSE_AND_HOME,3.7,2758,8.6M,"500,000+",Free,0,Everyone,House & Home,4.0 and up
"JStock - Stock Market, Portfolio & News",FINANCE,4.6,11066,9.1M,"500,000+",Free,0,Everyone,Finance,4.0 and up
How To Color Disney Princess - Coloring Pages,ART_AND_DESIGN,4,591,9.4M,"500,000+",Free,0,Everyone,Art & Design,4.0 and up
Meet With Strangers: Video Chat & Dating,DATING,NaN,2,3.7M,500+,Free,0,Mature 17+,Dating,4.0 and up
Browser 4G,COMMUNICATION,4.3,192948,6.6M,"10,000,000+",Free,0,Everyone,Communication,4.0.3 - 7.1.1
Web Browser & Explorer,COMMUNICATION,4,36901,6.6M,"5,000,000+",Free,0,Everyone,Communication,4.0.3 - 7.1.1
H Pack,LIFESTYLE,4.3,9412,1.7M,"1,000,000+",Free,0,Everyone,Lifestyle,4.0.3 and up
Call Blocker,COMMUNICATION,4.1,17529,10M,"1,000,000+",Free,0,Everyone,Communication,4.0.3 and up
WannaMeet – Dating & Chat App,DATING,4.1,6701,11M,"1,000,000+",Free,0,Mature 17+,Dating,4.0.3 and up
HungerStation,FOOD_AND_DRINK,3.8,22513,11M,"1,000,000+",Free,0,Everyone,Food & Drink,4.0.3 and up
RandoChat - Chat roulette,DATING,3.6,11806,12M,"1,000,000+",Free,0,Mature 17+,Dating,4.0.3 and up
"Apartment, Home Rental Search: Realtor.com Rentals",HOUSE_AND_HOME,3.9,10117,13M,"1,000,000+",Free,0,Everyone,House & Home,4.0.3 and up
MyMo by GSB,FINANCE,4.2,21996,14M,"1,000,000+",Free,0,Everyone,Finance,4.0.3 and up
Farm Fruit Pop: Party Time,GAME,4.4,9305,14M,"1,000,000+",Free,0,Everyone,Casual,4.0.3 and up
Mobills: Budget Planner,FINANCE,4.6,161440,16M,"1,000,000+",Free,0,Everyone,Finance,4.0.3 and up
auto fines,AUTO_AND_VEHICLES,4.6,31433,17M,"1,000,000+",Free,0,Everyone,Auto & Vehicles,4.0.3 and up
Video Caller Id,COMMUNICATION,4.2,15287,17M,"1,000,000+",Free,0,Everyone,Communication,4.0.3 and up
Dr. Oetker recipe ideas,FOOD_AND_DRINK,4.2,8509,17M,"1,000,000+",Free,0,Everyone,Food & Drink,4.0.3 and up
"Eat Fast Prepare ""Without Internet""",FOOD_AND_DRINK,4.6,4925,17M,"1,000,000+",Free,0,Everyone,Food & Drink,4.0.3 and up
"Used car is the first car - used car purchase, used car quotation, dealer information to",AUTO_AND_VEHICLES,4.6,5097,19M,"1,000,000+",Free,0,Everyone,Auto & Vehicles,4.0.3 and up
All Language Translator Free,BOOKS_AND_REFERENCE,4.4,30105,2.1M,"1,000,000+",Free,0,Everyone,Books & Reference,4.0.3 and up
Ghostery Privacy Browser,COMMUNICATION,4.1,13100,2.2M,"1,000,000+",Free,0,Everyone,Communication,4.0.3 and up
"漫咖 Comics - Manga,Novel and Stories",COMICS,4.1,12088,21M,"1,000,000+",Free,0,Mature 17+,Comics,4.0.3 and up
My Study Life - School Planner,EDUCATION,4.3,47847,21M,"1,000,000+",Free,0,Everyone,Education,4.0.3 and up
"591 housing transactions - renting houses, middle-class houses, new cases, real-time registration, villas through the sky, apartment suites, MRT, buying a house selling prices, housing mortgages",HOUSE_AND_HOME,4.1,24977,21M,"1,000,000+",Free,0,Everyone,House & Home,4.0.3 and up
Kanji test · Han search Kanji training (free version),EDUCATION,4.2,6736,22M,"1,000,000+",Free,0,Mature 17+,Education,4.0.3 and up
Keller Williams Real Estate,LIFESTYLE,4.4,13213,22M,"1,000,000+",Free,0,Everyone,Lifestyle,4.0.3 and up
Nature Sounds,LIFESTYLE,4.8,28588,24M,"1,000,000+",Free,0,Everyone,Lifestyle,4.0.3 and up
hellofood - Food Delivery,FOOD_AND_DRINK,4,43614,25M,"1,000,000+",Free,0,Everyone,Food & Drink,4.0.3 and up
Standard Bank / Stanbic Bank,FINANCE,3.6,15247,28M,"1,000,000+",Free,0,Everyone,Finance,4.0.3 and up
Sleep Sounds,HEALTH_AND_FITNESS,4.8,51227,28M,"1,000,000+",Free,0,Everyone,Health & Fitness,4.0.3 and up
"Meditation Music - Relax, Yoga",HEALTH_AND_FITNESS,4.6,48226,28M,"1,000,000+",Free,0,Everyone,Health & Fitness,4.0.3 and up
"Meditation Music - Relax, Yoga",HEALTH_AND_FITNESS,4.6,48226,28M,"1,000,000+",Free,0,Everyone,Health & Fitness,4.0.3 and up
SKencar,AUTO_AND_VEHICLES,3.7,4806,35M,"1,000,000+",Free,0,Everyone,Auto & Vehicles,4.0.3 and up
🔥 Football Wallpapers 4K | Full HD Backgrounds 😍,ENTERTAINMENT,4.7,11661,4.0M,"1,000,000+",Free,0,Everyone,Entertainment,4.0.3 and up
SeriesGuide – Show & Movie Manager,ENTERTAINMENT,4.3,64448,4.4M,"1,000,000+",Free,0,Mature 17+,Entertainment,4.0.3 and up
Complete Spanish Movies,ENTERTAINMENT,4,11656,4.5M,"1,000,000+",Free,0,Everyone,Entertainment,4.0.3 and up
My Cycles Period and Ovulation,HEALTH_AND_FITNESS,4.3,26652,41M,"1,000,000+",Free,0,Everyone,Health & Fitness,4.0.3 and up
Relax Meditation: Sleep with Sleep Sounds,HEALTH_AND_FITNESS,4.4,26540,43M,"1,000,000+",Free,0,Everyone,Health & Fitness,4.0.3 and up
Relax Meditation: Sleep with Sleep Sounds,HEALTH_AND_FITNESS,4.4,26540,43M,"1,000,000+",Free,0,Everyone,Health & Fitness,4.0.3 and up
I’m Expecting - Pregnancy App,HEALTH_AND_FITNESS,4.6,71269,49M,"1,000,000+",Free,0,Everyone,Health & Fitness,4.0.3 and up
Free Books - Spirit Fanfiction and Stories,BOOKS_AND_REFERENCE,4.8,116507,5.0M,"1,000,000+",Free,0,Teen,Books & Reference,4.0.3 and up
"FastMeet: Chat, Dating, Love",DATING,4.2,22544,5.9M,"1,000,000+",Free,0,Mature 17+,Dating,4.0.3 and up
"FastMeet: Chat, Dating, Love",DATING,4.2,22545,5.9M,"1,000,000+",Free,0,Mature 17+,Dating,4.0.3 and up
U.S. Bank,FINANCE,4.1,70782,50M,"1,000,000+",Free,0,Everyone,Finance,4.0.3 and up
Entel,LIFESTYLE,3.2,16168,55M,"1,000,000+",Free,0,Everyone,Lifestyle,4.0.3 and up
My Diet Diary Calorie Counter,HEALTH_AND_FITNESS,4.1,18539,57M,"1,000,000+",Free,0,Everyone,Health & Fitness,4.0.3 and up
My Diet Diary Calorie Counter,HEALTH_AND_FITNESS,4.1,18539,57M,"1,000,000+",Free,0,Everyone,Health & Fitness,4.0.3 and up
"Meet4U - Chat, Love, Singles!",DATING,4.2,40035,6.5M,"1,000,000+",Free,0,Mature 17+,Dating,4.0.3 and up
"Meet4U - Chat, Love, Singles!",DATING,4.2,40039,6.5M,"1,000,000+",Free,0,Mature 17+,Dating,4.0.3 and up
"SweetRing - Meet, Match, Date",DATING,4,51698,63M,"1,000,000+",Free,0,Mature 17+,Dating,4.0.3 and up
Fresh EBT - Food Stamp Balance,FINANCE,4.5,19870,7.4M,"1,000,000+",Free,0,Everyone,Finance,4.0.3 and up
SoloLearn: Learn to Code for Free,EDUCATION,4.8,256079,7.6M,"1,000,000+",Free,0,Teen,Education,4.0.3 and up
"Free Dating App - YoCutie - Flirt, Chat & Meet",DATING,4.1,97684,7.9M,"1,000,000+",Free,0,Mature 17+,Dating,4.0.3 and up
"Meet24 - Love, Chat, Singles",DATING,4.2,57081,7.9M,"1,000,000+",Free,0,Mature 17+,Dating,4.0.3 and up
"Meet24 - Love, Chat, Singles",DATING,4.2,57083,7.9M,"1,000,000+",Free,0,Mature 17+,Dating,4.0.3 and up
"Free Dating App - YoCutie - Flirt, Chat & Meet",DATING,4.1,97699,7.9M,"1,000,000+",Free,0,Mature 17+,Dating,4.0.3 and up
ColorSnap® Visualizer,HOUSE_AND_HOME,3.4,3280,77M,"1,000,000+",Free,0,Everyone,House & Home,4.0.3 and up
mysms SMS Text Messaging Sync,COMMUNICATION,4.3,37320,8.4M,"1,000,000+",Free,0,Everyone,Communication,4.0.3 and up
USPS MOBILE®,BUSINESS,3.9,16589,9.1M,"1,000,000+",Free,0,Everyone,Business,4.0.3 and up
Gold Butterfly Keyboard Theme,HOUSE_AND_HOME,4.3,10054,9.1M,"1,000,000+",Free,0,Everyone,House & Home,4.0.3 and up
StarTimes - Live International Champions Cup,ENTERTAINMENT,4.4,17682,9.7M,"1,000,000+",Free,0,Everyone,Entertainment,4.0.3 and up
Free Cam Girls - Live Webcam,DATING,3.5,35,16M,"1,000+",Free,0,Mature 17+,Dating,4.0.3 and up
Random Video Chat,DATING,NaN,3,16M,"1,000+",Free,0,Mature 17+,Dating,4.0.3 and up
Random Video Chat,DATING,NaN,3,16M,"1,000+",Free,0,Mature 17+,Dating,4.0.3 and up
Free Cam Girls - Live Webcam,DATING,3.5,35,16M,"1,000+",Free,0,Mature 17+,Dating,4.0.3 and up
Hojiboy Tojiboyev Life Hacks,COMICS,5,15,37M,"1,000+",Free,0,Everyone,Comics,4.0.3 and up
American Girls Mobile Numbers,DATING,5,5,4.4M,"1,000+",Free,0,Mature 17+,Dating,4.0.3 and up
FREE VIDEO CHAT - LIVE VIDEO AND TEXT CHAT,DATING,4.8,84,4.5M,"1,000+",Free,0,Mature 17+,Dating,4.0.3 and up
Find Lover,DATING,NaN,21,4.7M,"1,000+",Free,0,Mature 17+,Dating,4.0.3 and up
French Chat Room,DATING,4.2,24,4.9M,"1,000+",Free,0,Mature 17+,Dating,4.0.3 and up
Sago Mini Hat Maker,EDUCATION,4.9,11,63M,"1,000+",Paid,$3.99,Everyone,Education;Pretend Play,4.0.3 and up
Healthy Relationships Guide,DATING,NaN,0,8.2M,1+,Free,0,Everyone,Dating,4.0.3 and up
Contacts+,COMMUNICATION,4.2,190613,11M,"10,000,000+",Free,0,Everyone,Communication,4.0.3 and up
Horoscopes – Daily Zodiac Horoscope and Astrology,LIFESTYLE,4.6,161143,11M,"10,000,000+",Free,0,Everyone 10+,Lifestyle,4.0.3 and up
Realtor.com Real Estate: Homes for Sale and Rent,HOUSE_AND_HOME,4.5,162243,12M,"10,000,000+",Free,0,Everyone,House & Home,4.0.3 and up
Realtor.com Real Estate: Homes for Sale and Rent,HOUSE_AND_HOME,4.5,162243,12M,"10,000,000+",Free,0,Everyone,House & Home,4.0.3 and up
Galaxy Gift,LIFESTYLE,4.4,95557,16M,"10,000,000+",Free,0,Everyone,Lifestyle,4.0.3 and up
Fruits Bomb,GAME,4.4,74673,17M,"10,000,000+",Free,0,Everyone,Casual,4.0.3 and up
Edmodo,EDUCATION,4.1,200058,18M,"10,000,000+",Free,0,Everyone,Education,4.0.3 and up
Tastely,FOOD_AND_DRINK,4.7,611136,19M,"10,000,000+",Free,0,Everyone,Food & Drink,4.0.3 and up
Marble - Temple Quest,GAME,4.3,42053,24M,"10,000,000+",Free,0,Everyone,Puzzle,4.0.3 and up
WhatsApp Business,COMMUNICATION,4.4,136662,32M,"10,000,000+",Free,0,Everyone,Communication,4.0.3 and up
Omlet Chat,COMMUNICATION,3.9,40751,35M,"10,000,000+",Free,0,Teen,Communication,4.0.3 and up
TouchPal Keyboard - Fun Emoji & Android Keyboard,COMMUNICATION,4.4,615381,37M,"10,000,000+",Free,0,Mature 17+,Communication,4.0.3 and up
Race the Traffic Moto,GAME,3.8,270687,38M,"10,000,000+",Free,0,Teen,Racing,4.0.3 and up
Bubble Shooter,GAME,4.5,148897,46M,"10,000,000+",Free,0,Everyone,Casual,4.0.3 and up
Bubble Shooter,GAME,4.5,148895,46M,"10,000,000+",Free,0,Everyone,Casual,4.0.3 and up
Knife Hit,GAME,4.5,461137,60M,"10,000,000+",Free,0,Everyone,Arcade,4.0.3 and up
McDonald's - McDonald's Japan,FOOD_AND_DRINK,3.4,109784,64M,"10,000,000+",Free,0,Everyone,Food & Drink,4.0.3 and up
Shooting King,GAME,4.4,257724,69M,"10,000,000+",Free,0,Everyone 10+,Sports,4.0.3 and up
Mobile Bancomer,FINANCE,4.2,278082,70M,"10,000,000+",Free,0,Everyone,Finance,4.0.3 and up
Rider,GAME,4.5,655067,72M,"10,000,000+",Free,0,Teen,Arcade,4.0.3 and up
SketchBook - draw and paint,ENTERTAINMENT,4.3,256664,77M,"10,000,000+",Free,0,Everyone,Entertainment,4.0.3 and up
Hangouts Dialer - Call Phones,COMMUNICATION,4,122498,79k,"10,000,000+",Free,0,Everyone,Communication,4.0.3 and up
Text SMS,COMMUNICATION,4.5,349384,8.2M,"10,000,000+",Free,0,Everyone,Communication,4.0.3 and up
PIP Camera - PIP Collage Maker,ART_AND_DESIGN,4.7,158,11M,"10,000+",Free,0,Everyone,Art & Design,4.0.3 and up
Prom MakeUp Tutorial,BEAUTY,4.8,104,12M,"10,000+",Free,0,Everyone,Beauty,4.0.3 and up
Bird Sounds & Bird Ringtones for Free 2018,LIBRARIES_AND_DEMO,4.6,130,12M,"10,000+",Free,0,Everyone,Libraries & Demo,4.0.3 and up
Drawing Clothes Fashion Ideas,ART_AND_DESIGN,4.2,117,15M,"10,000+",Free,0,Everyone,Art & Design,4.0.3 and up
Quotes,LIBRARIES_AND_DEMO,4.4,58,15M,"10,000+",Free,0,Everyone,Libraries & Demo,4.0.3 and up
SilverSingles: The 50+ Dating App,DATING,3.3,149,16M,"10,000+",Free,0,Mature 17+,Dating,4.0.3 and up
Photo Editor 2018,BEAUTY,4.5,134,17M,"10,000+",Free,0,Everyone,Beauty,4.0.3 and up
Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4.1,159,19M,"10,000+",Free,0,Everyone,Art & Design,4.0.3 and up
Benefits of olive oil with garlic,LIBRARIES_AND_DEMO,NaN,25,2.5M,"10,000+",Free,0,Everyone,Libraries & Demo,4.0.3 and up
Eyes Makeup Beauty Tips,BEAUTY,4.2,30,2.9M,"10,000+",Free,0,Everyone,Beauty,4.0.3 and up
Step By Step Eyes Makeup Tutorial,BEAUTY,4.4,74,2.9M,"10,000+",Free,0,Everyone,Beauty,4.0.3 and up
Step By Step Hairstyles For Women,BEAUTY,4.1,66,2.9M,"10,000+",Free,0,Everyone,Beauty,4.0.3 and up
Kids Paint Free - Drawing Fun,ART_AND_DESIGN,4.7,121,3.1M,"10,000+",Free,0,Everyone,Art & Design;Creativity,4.0.3 and up
Girls hairstyles 2018,BEAUTY,4.2,62,3.1M,"10,000+",Free,0,Everyone,Beauty,4.0.3 and up
Patience Words,LIBRARIES_AND_DEMO,NaN,31,3.4M,"10,000+",Free,0,Everyone,Libraries & Demo,4.0.3 and up
Girls Online Talk - Free Text and Video Chat,DATING,4.7,791,3.7M,"10,000+",Free,0,Mature 17+,Dating,4.0.3 and up
LIVE VIDEO TALK,DATING,4.7,478,4.5M,"10,000+",Free,0,Mature 17+,Dating,4.0.3 and up
Free Live Talk-Video Call,DATING,4.7,158,4.5M,"10,000+",Free,0,Mature 17+,Dating,4.0.3 and up
Truyện Vui Tý Quậy,COMICS,4.5,144,4.7M,"10,000+",Free,0,Everyone,Comics,4.0.3 and up
Girls Live Chat - Free Text & Video Chat,DATING,4.8,110,4.9M,"10,000+",Free,0,Mature 17+,Dating,4.0.3 and up
Girls Live Chat - Free Text & Video Chat,DATING,4.8,110,4.9M,"10,000+",Free,0,Mature 17+,Dating,4.0.3 and up
Live Talk - Free Text and Video Chat,DATING,4.6,185,5.0M,"10,000+",Free,0,Mature 17+,Dating,4.0.3 and up
Live Talk - Free Text and Video Chat,DATING,4.6,185,5.0M,"10,000+",Free,0,Mature 17+,Dating,4.0.3 and up
Adult Dirty Emojis,DATING,2.8,80,5.5M,"10,000+",Free,0,Teen,Dating,4.0.3 and up
Adult Dirty Emojis,DATING,2.8,80,5.5M,"10,000+",Free,0,Teen,Dating,4.0.3 and up
Adult Dirty Emojis,DATING,2.8,80,5.5M,"10,000+",Free,0,Teen,Dating,4.0.3 and up
CityBus Lviv,AUTO_AND_VEHICLES,4.6,534,5.7M,"10,000+",Free,0,Everyone,Auto & Vehicles,4.0.3 and up
Words (188 Category),LIBRARIES_AND_DEMO,NaN,54,5.9M,"10,000+",Free,0,Everyone,Libraries & Demo,4.0.3 and up
"Best Wallpapers Backgrounds(100,000+ 4K HD)",COMICS,4.7,3596,7.8M,"10,000+",Free,0,Teen,Comics,4.0.3 and up
Dragon Ball Wallpaper - Ringtones,COMICS,4.7,73,8.3M,"10,000+",Free,0,Everyone,Comics,4.0.3 and up
A hundred,DATING,4.1,236,8.8M,"10,000+",Free,0,Mature 17+,Dating,4.0.3 and up
HOW TO ASK A GIRL OUT,DATING,NaN,0,19M,10+,Free,0,Everyone,Dating,4.0.3 and up
When Will You Get Married,DATING,NaN,2,3.6M,10+,Free,0,Everyone,Dating,4.0.3 and up
Soul Mate,DATING,NaN,0,4.4M,10+,Free,0,Mature 17+,Dating,4.0.3 and up
JoJo Siwa Top Hits Music,DATING,NaN,0,4.9M,10+,Free,0,Teen,Dating,4.0.3 and up
Dating Tips For Men,DATING,NaN,0,7.8M,10+,Free,0,Everyone,Dating,4.0.3 and up
